trans_hour,trans_day,trans_month,trans_year,trans_amount,upi_number,fraud_risk
10,17,1,2024,38207.53,7662637688,0
7,9,8,2018,17711.24,7662172128,0
1,13,9,2020,26935.21,7662466604,1
21,5,3,2022,30521.76,7662747264,0
18,21,3,2024,8125.45,7662276617,0
21,14,12,2022,153291.18,7662046588,1
23,27,7,2025,14591.41,7662672890,0
22,14,8,2019,32656.74,7662097859,0
3,9,5,2024,26962.27,7662160955,0
23,27,6,2019,149798.57,7662600055,1
14,4,11,2023,10410.95,7662668174,0
1,12,7,2020,78551.47,7662265917,1
6,18,10,2025,17345.42,7662449035,0
9,9,4,2018,136316.46,7662793899,1
7,12,10,2018,87823.1,7662199454,1
13,7,7,2017,15947.64,7662558417,0
1,25,9,2024,8461.81,7662465983,0
7,12,3,2025,7871.87,7662430347,0
18,20,3,2023,101309.83,7662281374,1
10,15,3,2024,5962.81,7662534214,0
19,19,11,2017,195654.67,7662805479,1
1,20,11,2018,68721.91,7662922976,1
11,10,11,2020,125851.22,7662698767,1
14,8,11,2020,45322.52,7662043935,0
4,19,2,2022,190436.8,7662037848,1
17,9,4,2020,72462.9,7662746794,1
13,25,3,2019,72710.43,7662171740,0
0,7,1,2022,44954.69,7662389656,1
22,17,4,2018,63862.83,7662452706,1
18,19,3,2022,30193.22,7662772319,0
9,2,6,2024,158632.81,7662177734,1
19,10,9,2019,73455.1,7662112962,0
20,8,11,2023,65392.13,7662857849,1
6,24,9,2017,42928.19,7662553821,0
22,4,7,2025,14378.33,7662301903,1
2,22,4,2017,11162.64,7662121703,0
23,28,11,2020,88325.31,7662947608,1
6,1,7,2017,156197.22,7662142984,1
20,9,11,2023,12781.38,7662780141,0
10,17,1,2025,30291.06,7662787266,0
17,26,7,2018,155068.47,7662562825,1
7,18,12,2019,132847.77,7662560608,1
15,17,10,2024,4616.15,7662323909,0
18,21,6,2023,44785.01,7662072033,1
9,21,11,2018,160703.43,7662336939,1
22,15,6,2018,48535.96,7662143578,0
21,14,2,2017,148764.86,7662560977,1
18,24,6,2023,56003.93,7662307891,1
14,12,10,2024,58185.35,7662051875,1
18,27,4,2018,184982.99,7662178053,1
22,15,6,2019,30075.2,7662286416,0
10,4,1,2022,162066.16,7662640426,1
1,2,6,2021,46169.06,7662193550,1
19,20,10,2018,157381.3,7662612653,1
3,21,5,2023,164321.03,7662446465,1
2,13,9,2021,23740.78,7662042935,0
20,21,12,2023,5511.21,7662654518,0
7,11,9,2023,144508.03,7662740881,1
20,4,1,2024,27813.22,7662725922,0
8,25,11,2022,15364.08,7662192895,0
1,2,6,2025,156937.73,7662969634,1
9,16,8,2018,3390.44,7662601289,0
21,1,4,2023,93483.45,7662316292,1
14,26,5,2023,7630.8,7662805646,0
6,24,3,2020,9917.08,7662635346,0
0,5,9,2019,25709.28,7662690329,0
23,4,4,2025,48169.8,7662848462,1
10,7,9,2020,84299.16,7662816764,1
9,19,12,2025,173140.13,7662042243,0
16,7,6,2024,179338.5,7662724429,1
3,10,12,2023,158338.57,7662945516,1
17,11,11,2022,14689.85,7662065251,0
22,19,6,2017,31455.9,7662374625,0
12,19,2,2020,40471.48,7662201759,0
12,1,12,2021,14736.48,7662618504,0
7,12,8,2021,131087.12,7662543710,1
12,7,3,2018,59763.34,7662848786,0
4,22,10,2025,30563.25,7662284745,1
20,20,7,2017,38369.76,7662345804,0
9,4,4,2017,55621.79,7662029458,0
5,16,4,2024,57224.45,7662226385,1
19,17,5,2018,90678.66,7662915822,1
21,12,9,2018,8289.51,7662063218,0
7,5,7,2021,51211.5,7662164365,0
13,2,3,2020,13990.52,7662372392,0
9,24,8,2021,193931.07,7662595947,1
8,2,11,2024,150438.11,7662481537,1
7,8,12,2018,59425.38,7662596871,0
20,3,6,2018,69880.24,7662227068,1
22,4,9,2019,53889.19,7662608554,0
16,26,1,2020,142812.55,7662974859,1
5,22,11,2022,17483.99,7662196469,0
13,9,10,2023,12257.11,7662229095,0
20,27,7,2025,191036.99,7662443955,1
1,26,7,2017,113536.27,7662025939,1
4,10,3,2021,43710.8,7662498837,0
21,12,11,2025,189710.99,7662330524,1
7,14,12,2017,92125.57,7662925954,1
18,14,7,2018,68210.65,7662585967,0
19,26,2,2023,9115.42,7662119337,0
1,28,4,2024,100347.42,7662074061,1
1,20,5,2019,125690.45,7662771373,1
17,7,6,2021,17480.47,7662177512,0
6,13,6,2018,36791.44,7662109983,0
2,21,5,2025,37343.11,7662066382,1
11,28,12,2019,123645.05,7662477685,1
17,2,11,2025,8951.78,7662239164,0
2,5,9,2017,171265.56,7662092117,1
7,11,5,2022,154601.3,7662509574,1
13,13,9,2022,17070.39,7662815590,0
12,22,4,2022,4606.61,7662439712,0
7,4,11,2022,43558.52,7662289936,0
13,12,3,2019,8755.54,7662889897,0
19,21,4,2017,28524.56,7662262234,0
10,1,4,2024,115772.76,7662583832,1
0,9,10,2023,127481.07,7662090275,1
13,23,5,2024,21538.16,7662679380,0
5,27,8,2025,118830.3,7662502122,1
13,8,6,2019,59322.34,7662088140,0
18,25,1,2018,194057.53,7662820055,1
19,11,4,2019,120783.77,7662007239,1
11,9,11,2022,190485.17,7662024228,1
20,14,8,2022,4567.77,7662905126,0
10,15,8,2017,37359.14,7662605815,0
23,3,6,2025,2538.13,7662275765,0
23,13,2,2019,171867.65,7662094577,1
16,1,9,2019,23804.02,7662520935,0
0,8,6,2017,198579.91,7662736304,1
1,25,10,2022,8557.08,7662350109,0
15,6,11,2021,61245.02,7662132866,0
2,11,6,2025,165215.46,7662140988,1
2,23,10,2024,10736.64,7662354956,0
0,24,3,2020,108082.98,7662736723,1
17,25,3,2019,170788.51,7662112500,1
11,17,1,2023,26807.6,7662755029,0
5,27,10,2022,45886.51,7662555028,1
7,22,12,2019,54524.59,7662077232,0
5,28,11,2017,12342.16,7662341226,0
11,25,4,2019,29419.57,7662023983,0
7,24,5,2018,104564.4,7662066045,1
14,1,5,2023,11243.16,7662713746,1
7,26,3,2025,74942.48,7662558021,1
17,20,2,2023,28151.24,7662299342,0
17,24,10,2024,152030.28,7662519001,1
20,18,11,2018,10357.73,7662979125,0
13,12,1,2025,125736.52,7662788206,1
13,9,4,2017,158502.29,7662458194,0
22,3,7,2023,96621.45,7662771269,1
15,5,6,2017,19091.25,7662918052,0
23,16,4,2021,180139.5,7662114736,1
4,2,11,2024,26044.27,7662748506,0
2,24,10,2024,603.43,7662182557,1
21,13,1,2020,189787.7,7662852800,1
18,5,3,2025,16153.66,7662142308,0
1,8,1,2023,66934.24,7662639353,1
8,9,5,2018,166577.84,7662584736,1
23,25,7,2018,41175.77,7662244699,0
22,24,9,2018,173190.53,7662407979,1
22,27,12,2023,20724.65,7662213290,0
7,19,2,2024,139592.3,7662826326,1
6,26,8,2019,9558.9,7662220444,0
10,10,6,2018,3679.65,7662768734,0
23,17,8,2021,194689.97,7662012473,1
1,7,1,2020,176453.73,7662017040,1
20,7,7,2025,30170.24,7662510605,0
5,20,12,2024,18989.99,7662494949,0
22,6,10,2020,98068.2,7662650754,1
11,27,6,2022,115842.07,7662430722,1
7,16,7,2023,27105.75,7662862284,0
10,24,3,2017,148412.59,7662518942,1
19,21,3,2021,76397.99,7662435095,1
9,20,4,2020,81067.7,7662455805,1
13,22,4,2019,43682.95,7662186811,0
3,8,6,2018,195120.16,7662727179,1
8,25,3,2017,108954.9,7662223855,0
23,12,5,2025,139657.08,7662405096,1
23,3,6,2023,4949.58,7662428493,0
1,27,1,2025,144386.94,7662422720,1
13,26,6,2024,98812.18,7662970111,1
6,24,5,2025,167429.61,7662041377,1
9,22,1,2018,22468.87,7662749619,0
22,16,12,2021,153901.97,7662585390,1
10,18,7,2023,197882.25,7662703222,1
21,22,7,2024,11818.86,7662872828,0
7,22,12,2017,4993.91,7662789513,0
10,24,2,2020,58452.11,7662488489,0
11,11,8,2018,10731.07,7662712260,0
13,14,8,2017,82031.96,7662559508,1
22,4,4,2022,132628.17,7662573757,1
2,27,12,2023,6024.16,7662839439,0
2,13,10,2025,110126.58,7662373982,1
18,12,1,2023,2805.35,7662630616,0
18,10,3,2017,55320.13,7662296049,0
16,23,3,2022,43419.51,7662978001,0
21,10,3,2023,68238.07,7662867387,1
5,28,6,2021,25118.06,7662630723,0
11,26,12,2025,178340.77,7662498397,1
21,24,6,2018,101422.54,7662214664,1
7,7,10,2021,60007.85,7662453076,0
12,2,8,2021,68691.77,7662740921,1
13,25,4,2018,35380.26,7662202741,0
2,11,5,2024,94532.22,7662069606,1
14,25,8,2017,5452.6,7662658474,0
3,1,8,2024,106439.23,7662089598,1
10,20,12,2023,6774.33,7662402452,0
7,24,6,2019,67959.61,7662524008,1
23,28,1,2018,45168.09,7662968130,0
12,9,2,2025,150055.21,7662909743,1
1,9,8,2020,28543.94,7662009250,0
12,24,9,2017,92792.45,7662643027,1
1,18,11,2019,5268.54,7662977629,0
12,5,8,2025,142578.74,7662363939,1
23,16,8,2022,196085.32,7662455454,1
5,6,5,2018,28355.25,7662988699,0
17,4,1,2024,92384.58,7662719821,1
7,18,10,2019,27506.41,7662639165,0
7,28,4,2025,185424.21,7662762826,1
19,24,4,2022,175307.65,7662974058,1
6,16,9,2018,90412.78,7662822217,1
1,26,8,2020,39092.52,7662073548,1
11,17,1,2017,150895.91,7662601829,1
2,7,3,2025,5268.13,7662099640,0
9,15,11,2020,23443.15,7662289134,0
8,2,9,2019,163613.54,7662400239,1
10,10,9,2023,26434.86,7662907617,1
17,6,4,2025,30285.43,7662299806,0
23,6,10,2024,4113.24,7662619702,0
8,20,8,2020,161253.8,7662014848,1
12,21,3,2021,160218.95,7662813263,1
2,27,5,2021,60663.1,7662328240,1
1,19,3,2019,115829.26,7662313734,1
12,1,1,2017,127137.93,7662211205,1
8,15,2,2025,23524.29,7662257947,0
13,16,5,2020,342.65,7662505346,0
12,10,7,2017,28850.51,7662592866,0
10,18,10,2023,84862.35,7662164250,1
21,8,7,2018,69800.83,7662609363,0
9,22,11,2023,75351.12,7662375169,1
16,5,5,2023,100077.84,7662580893,1
6,21,4,2021,128609.28,7662423739,1
14,6,12,2019,114849.36,7662745104,1
6,7,8,2022,123924.05,7662864853,1
7,2,9,2017,66040.61,7662116539,0
22,16,12,2020,30825.64,7662734811,0
20,1,7,2022,5788.81,7662787302,1
7,28,6,2018,179590.77,7662181410,1
2,5,1,2019,23144.82,7662929648,0
19,4,7,2020,43410.47,7662778013,0
6,11,2,2021,52665.2,7662387368,1
17,18,8,2020,38446.45,7662182794,0
13,20,7,2024,49720.27,7662984629,1
19,13,9,2025,13231.33,7662731077,0
19,14,11,2022,35473.16,7662157299,0
10,3,10,2021,71559.27,7662318577,1
16,1,1,2024,35243.16,7662283433,1
22,2,11,2023,4722.28,7662999576,1
17,11,12,2019,120424.25,7662684671,1
6,15,3,2020,176848.95,7662474028,1
8,4,4,2022,72177.9,7662126496,1
20,23,1,2020,141924.04,7662990321,1
7,6,9,2019,137053.36,7662896816,1
2,21,5,2022,48075.09,7662543946,1
12,19,4,2017,49310.57,7662902024,0
14,14,5,2018,29558.2,7662137124,0
13,6,7,2023,28056.49,7662067481,0
18,8,9,2020,22185.05,7662731298,0
4,13,2,2025,24430.57,7662619960,0
7,1,12,2022,77581.74,7662112536,1
12,28,7,2025,165449.5,7662810063,1
7,10,4,2022,169147.8,7662431217,1
11,12,9,2021,67471.68,7662106966,0
3,19,9,2019,28837.17,7662172723,0
4,9,2,2019,59144.21,7662250891,1
6,16,6,2025,156947.96,7662186924,1
5,11,9,2021,6094.71,7662119302,1
7,13,12,2021,91267.53,7662632928,1
2,9,6,2025,5757.51,7662163928,0
6,12,8,2022,42156.07,7662412699,0
19,7,7,2020,27192.96,7662287925,0
10,28,4,2024,31633.99,7662665365,0
7,22,12,2020,106284.98,7662691794,1
17,11,3,2020,128727.45,7662409548,1
19,3,9,2020,24728.72,7662209844,0
17,2,11,2018,68844.05,7662676569,0
18,25,2,2024,182967.06,7662972544,1
8,19,7,2017,75472.78,7662257837,1
2,27,2,2019,59893.21,7662877290,1
8,23,12,2024,37441.88,7662319622,0
18,27,6,2024,3232.46,7662474816,0
11,14,3,2019,65382.06,7662615274,0
14,24,7,2020,117934.49,7662932261,1
11,20,12,2024,37061.81,7662661446,0
2,8,3,2018,160159.46,7662030887,1
10,28,3,2019,143039.99,7662335959,1
12,17,11,2021,33805.15,7662959652,0
14,4,11,2022,13918.92,7662634538,0
20,27,12,2025,34758.32,7662009102,0
0,23,7,2022,186010.6,7662813526,1
7,9,10,2022,63658.08,7662957579,1
14,9,12,2022,59243.98,7662313806,0
10,26,8,2020,32386.95,7662314205,0
22,28,4,2025,57679.07,7662965833,1
18,3,12,2019,182384.92,7662517364,1
13,10,5,2017,71613.81,7662079564,0
6,10,2,2020,37402.54,7662709855,0
8,13,2,2020,194278.72,7662489254,1
21,21,1,2017,1789.73,7662163291,0
8,9,12,2017,76164.55,7662969359,1
2,19,7,2021,15898.53,7662174964,0
0,13,6,2025,12223.57,7662128853,0
21,15,8,2021,3515.43,7662153805,0
5,26,3,2023,5986.55,7662413565,0
20,17,6,2023,3094.72,7662998817,0
14,5,11,2024,146949.86,7662411225,1
6,18,8,2023,31851.96,7662695882,0
22,6,7,2021,44035.32,7662466419,0
6,25,2,2019,56801.97,7662518207,1
21,18,4,2022,42484.18,7662257731,0
8,7,1,2024,2693.77,7662251389,0
12,6,11,2017,86186.08,7662829588,1
17,10,10,2019,120036.29,7662009482,1
14,7,1,2020,47892.37,7662069313,0
7,15,6,2021,76500.11,7662868326,1
11,18,11,2021,703.9,7662925629,0
14,2,11,2023,106354.49,7662860577,1
3,19,8,2023,87881.81,7662910648,1
13,1,11,2025,179826.53,7662160256,0
9,3,7,2019,39371.67,7662641165,0
12,14,8,2023,38373.4,7662813110,1
21,13,7,2024,17112.92,7662960548,0
2,11,4,2021,37607.89,7662451265,1
1,9,4,2025,73193.25,7662975127,1
19,12,2,2024,191349.4,7662301872,1
10,7,3,2021,156946.32,7662236586,1
15,23,3,2019,125258.02,7662970122,1
12,11,8,2021,29208.53,7662001511,0
22,21,11,2021,43642.68,7662667561,0
17,20,2,2021,77153.08,7662230125,1
2,24,8,2024,9146.33,7662208331,0
3,12,7,2022,3529.77,7662684771,0
19,23,1,2019,146743.89,7662276084,1
0,25,11,2022,514.75,7662178811,0
23,26,8,2024,157518.22,7662466257,1
1,23,7,2023,199891.84,7662458123,1
8,25,10,2024,107630.24,7662469866,1
16,4,4,2019,50445.52,7662918953,0
7,15,8,2023,5639.53,7662476788,0
14,7,10,2024,10040.08,7662720882,0
16,14,2,2021,83244.08,7662234116,1
2,19,2,2019,4970.17,7662452111,0
21,26,3,2018,3941.77,7662456070,0
5,10,4,2023,138197.23,7662269379,1
13,14,11,2025,112387.57,7662795832,1
14,1,11,2018,194163.78,7662759817,1
14,21,4,2022,13374.11,7662353966,0
14,10,3,2021,7193.66,7662438073,0
10,25,2,2021,48499.95,7662682669,0
13,9,9,2023,45255.71,7662157967,1
14,8,11,2018,188927.29,7662136315,1
21,26,11,2017,17448.53,7662135414,0
6,2,12,2025,40916.27,7662746882,1
12,19,3,2021,134734.61,7662748697,1
16,27,6,2017,84124.57,7662268022,1
18,14,10,2023,44893.48,7662115044,1
6,5,5,2020,40834.14,7662481153,0
16,14,2,2023,39762.65,7662142115,0
11,8,4,2025,94606.47,7662630870,1
16,2,11,2019,41587.6,7662357414,0
7,8,7,2023,64567.65,7662618297,1
21,22,2,2018,145597.64,7662102376,0
15,12,3,2024,168529.85,7662826770,1
14,20,11,2021,129339.16,7662888389,1
21,4,8,2021,22460.33,7662263038,0
15,3,3,2024,109036.78,7662846170,1
20,15,8,2024,16010.11,7662982373,0
3,17,9,2024,12158.18,7662190941,0
12,5,11,2021,60671.8,7662181310,1
6,3,2,2017,157475.65,7662733228,0
11,27,7,2024,16807.86,7662748134,0
21,23,4,2018,11764.61,7662289864,0
23,26,10,2020,6146.65,7662088732,0
12,15,9,2021,72735.8,7662028739,0
5,23,7,2025,39839.88,7662768644,1
20,9,11,2021,27169.77,7662750448,0
22,28,12,2020,43769.5,7662245874,0
9,6,3,2024,27193.66,7662696446,0
15,14,1,2021,71927.62,7662490035,0
18,9,4,2017,183998.67,7662916111,1
22,15,1,2018,57221.25,7662393981,0
20,22,9,2022,96798.58,7662533724,1
13,10,9,2021,18813.36,7662245654,0
13,12,12,2025,168283.18,7662230292,1
22,20,8,2018,26789.92,7662389760,0
11,27,5,2021,53352.88,7662533934,1
0,27,10,2022,43777.72,7662006172,1
18,8,11,2022,70810.53,7662398798,0
2,15,4,2023,15750.67,7662012546,0
6,16,10,2023,32152.37,7662465247,0
21,6,5,2024,27803.01,7662202860,0
8,17,5,2017,72201.67,7662626439,0
12,1,4,2018,55186.13,7662560634,0
16,3,6,2023,1252.84,7662863750,0
14,20,6,2023,126271.57,7662321854,1
15,20,4,2017,31133.98,7662824377,0
21,8,6,2019,25989.5,7662631928,0
10,26,7,2025,105950.5,7662239479,1
21,28,3,2023,15831.27,7662648257,0
7,12,4,2023,50983.89,7662665355,1
7,24,10,2024,162038.77,7662012877,1
18,20,3,2022,20614.39,7662204524,0
21,10,11,2020,67940.46,7662519219,0
22,24,3,2024,124438.5,7662581699,1
23,23,9,2022,59482.09,7662060187,0
6,25,8,2025,169757.0,7662492495,1
7,25,9,2022,77282.01,7662981617,1
10,25,11,2017,31458.56,7662461604,0
2,6,10,2025,17071.62,7662927971,0
18,2,4,2018,24511.36,7662404726,0
0,13,4,2017,102278.57,7662740636,0
8,17,7,2023,1553.25,7662675694,0
7,8,11,2018,25380.48,7662384571,1
3,10,11,2018,175075.3,7662397397,1
11,3,10,2024,166415.11,7662904102,1
0,23,10,2020,82209.33,7662311557,1
0,24,11,2018,19908.54,7662282375,0
21,13,8,2022,15426.69,7662025104,0
